,status_group
0,functional
3,non functional
11,functional
13,functional
15,functional
16,non functional
17,non functional
19,functional
20,functional
22,functional needs repair
23,functional
26,functional
28,non functional
29,functional
31,functional
33,functional
38,functional
40,functional
41,functional
42,functional
44,functional needs repair
46,functional needs repair
48,functional
49,functional
50,functional
51,non functional
55,non functional
56,functional
57,non functional
58,functional
60,functional
62,functional needs repair
64,functional
66,functional
68,non functional
70,non functional
74,functional
76,functional
78,non functional
80,functional
81,functional needs repair
86,functional
88,non functional
90,functional needs repair
91,non functional
92,non functional
93,functional
98,functional needs repair
101,functional
103,functional needs repair
104,functional
105,functional
108,non functional
116,functional
119,non functional
120,non functional
127,functional
134,functional
135,functional
137,non functional
141,functional
144,non functional
147,functional
155,non functional
159,functional
160,functional
162,functional
163,functional
169,functional
170,functional
171,non functional
172,functional
173,functional
175,functional
176,functional
179,non functional
180,functional
183,non functional
185,functional
191,functional
193,non functional
194,functional
195,functional
196,functional
197,non functional
198,non functional
202,functional
203,functional
209,functional
212,non functional
214,functional needs repair
216,functional needs repair
218,functional
221,functional needs repair
223,functional
224,non functional
226,functional
230,functional
231,non functional
233,non functional
234,non functional
237,functional needs repair
240,non functional
244,functional
246,functional
247,functional
248,functional
249,non functional
250,functional
251,functional
252,non functional
254,functional
258,functional
261,non functional
269,functional
276,functional
278,functional
279,functional needs repair
280,functional
283,non functional
284,functional needs repair
288,functional
290,non functional
291,non functional
293,functional
296,non functional
299,non functional
308,functional needs repair
310,non functional
314,non functional
316,functional
318,non functional
325,non functional
327,functional
328,functional
331,functional
335,functional
337,non functional
338,functional
339,functional
341,functional
343,functional
344,functional
348,functional
349,functional
350,functional
351,functional
353,functional
356,non functional
359,functional
362,functional
364,non functional
365,functional
369,functional
371,functional
372,functional
373,functional
374,non functional
375,non functional
376,functional
378,functional needs repair
380,functional
381,functional needs repair
382,functional
383,functional
384,functional
385,functional
388,functional
389,functional
392,functional
395,functional
396,functional
398,non functional
399,functional
401,functional
407,functional
408,functional needs repair
409,functional
410,non functional
414,functional needs repair
415,non functional
417,non functional
418,functional
419,functional
420,functional
421,functional
422,non functional
424,non functional
430,functional
432,functional
435,non functional
442,functional needs repair
444,functional
448,functional
450,non functional
452,functional
455,functional
456,non functional
457,functional
458,functional
460,functional
464,functional
465,functional
466,non functional
467,functional
469,non functional
470,functional
473,functional
475,non functional
476,functional
478,non functional
483,non functional
487,non functional
488,functional
489,non functional
493,functional
496,functional needs repair
497,functional
499,non functional
500,functional
501,functional
504,non functional
506,non functional
507,functional
509,functional
510,non functional
511,functional needs repair
513,functional
519,functional
522,functional
523,non functional
527,functional
528,functional
529,functional
531,functional
532,non functional
534,functional
536,functional
537,non functional
539,non functional
540,non functional
543,functional
544,functional
545,non functional
546,functional
547,non functional
550,functional
552,functional
553,functional
554,functional
557,functional
559,functional needs repair
561,functional
562,functional
563,non functional
564,non functional
567,functional
569,functional
573,functional needs repair
574,non functional
576,non functional
577,non functional
578,non functional
579,functional
586,non functional
587,non functional
589,non functional
591,functional
594,non functional
596,functional needs repair
598,functional
601,functional
605,non functional
607,functional
608,non functional
616,non functional
617,non functional
618,functional needs repair
620,functional
621,functional
622,functional
626,non functional
628,functional
629,non functional
634,functional
636,non functional
638,non functional
640,non functional
641,functional
642,functional
643,functional needs repair
644,non functional
645,non functional
646,functional
649,functional
650,functional
653,functional
654,functional needs repair
655,functional needs repair
657,functional
661,functional
662,non functional
663,functional
665,functional
669,functional
670,functional
672,functional
673,functional
674,non functional
675,functional
676,functional
682,functional
684,functional
685,non functional
695,functional
698,non functional
699,functional
702,non functional
703,functional
704,functional
706,non functional
709,functional
711,functional
712,functional needs repair
713,functional
716,non functional
719,functional
722,non functional
726,functional
727,functional
729,functional
734,functional
735,functional
738,functional needs repair
742,functional needs repair
743,functional
746,functional
747,functional
748,functional
752,functional
754,functional
757,non functional
761,functional
